         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20          6.8        25.64      1.48929      7.54118
         5.5            0          0.5           30         73.8        22.89     0.129657     0.620325
         5.5            0          0.5           40         57.2        28.04      0.18515      0.98042
         5.5            0          0.5           50         43.6        24.56      0.22733      1.12661
         5.5            0          0.5           60           42         16.2     0.191663     0.771429
         5.5            0          0.5           70         35.6        37.56     0.344305      2.11011
         5.5            0          0.5           80         28.2        32.69     0.405498      2.31844
         5.5            0          0.5           90           23        16.25     0.350533      1.41304
         5.5            0          0.5          100         49.8        40.29     0.254917      1.61807
         5.5            0          0.5          110         47.2        46.44     0.288758       1.9678
         5.5            0          0.5          120           31        19.85     0.287441      1.28065
         5.5            0          0.5          130         50.6        37.81     0.243043      1.49447
         5.5            0          0.5          140           48         19.2     0.182574          0.8
         5.5            0          0.5          150         44.4        63.36     0.358554      2.85405
         5.5            0          0.5          160         38.8        23.24     0.248494      1.19794
         5.5            0          0.5          170         55.4        20.01     0.161489     0.722383
         5.5            0          0.5          180         46.6        35.61     0.256112      1.52833
         5.5            0          0.5          190         34.8        21.64      0.26735      1.24368
         5.5            0          0.5          200         38.8        22.04     0.241994      1.13608
         5.5            0          0.5          210         44.8        31.04     0.248721      1.38571
         5.5            0          0.5          220         52.4        25.96     0.194469      0.99084
         5.5            0          0.5          230         39.6        14.76     0.194034     0.745455
         5.5            0          0.5          240         34.6        14.81     0.222449     0.856069
         5.5            0          0.5          250           32         15.8     0.248433       0.9875
         5.5            0          0.5          260           54           41     0.237153      1.51852
         5.5            0          0.5          270           36         16.6     0.226351     0.922222
         5.5            0          0.5          280           30         15.2     0.259915      1.01333
         5.5            0          0.5          290         39.2        43.84     0.337815      2.23673
         5.5            0          0.5          300         59.4        29.01      0.18135     0.976768
