          10            1          0.5           10            0            0         -nan         -nan
          10            1          0.5           20          0.2         0.09            3          0.9
          10            1          0.5           30          0.2         0.09            3          0.9
          10            1          0.5           40          0.2         0.09            3          0.9
          10            1          0.5           50         0.24       0.1056      2.70801         0.88
          10            1          0.5           60          0.4     0.193333      2.19848     0.966667
          10            1          0.5           70     0.342857     0.170612      2.40947     0.995238
          10            1          0.5           80          0.3       0.1525      2.60342      1.01667
          10            1          0.5           90     0.333333     0.161111      2.40832     0.966667
          10            1          0.5          100         0.32       0.1544      2.45586        0.965
          10            1          0.5          110     0.309091     0.148843      2.49636     0.963102
          10            1          0.5          120          0.3     0.144167      2.53129     0.961111
          10            1          0.5          130     0.353846     0.176391      2.37385      0.99699
          10            1          0.5          140     0.357143     0.175255      2.34435     0.981429
          10            1          0.5          150     0.333333     0.165556      2.44131     0.993333
          10            1          0.5          160       0.3125     0.156836      2.53456      1.00375
          10            1          0.5          170     0.435294     0.276159       2.4145      1.26884
          10            1          0.5          180     0.588889     0.474414      2.33924      1.61122
          10            1          0.5          190     0.557895     0.453767      2.41487      1.62671
          10            1          0.5          200         0.54       0.4371      2.44865      1.61889
          10            1          0.5          210     0.514286     0.419592      2.51906      1.63175
          10            1          0.5          220     0.509091     0.407934      2.50917       1.6026
          10            1          0.5          230     0.495652     0.395104      2.53635      1.59428
          10            1          0.5          240     0.508333     0.389566      2.45568      1.53272
          10            1          0.5          250        0.496     0.378496      2.48073      1.52619
          10            1          0.5          260     0.484615      0.36821      2.50427       1.5196
          10            1          0.5          270     0.466667     0.356667       2.5595      1.52857
          10            1          0.5          280     0.514286     0.398163       2.4539      1.54841
          10            1          0.5          290     0.537931     0.396623      2.34149      1.47462
          10            1          0.5          300         0.52     0.385733      2.38875      1.48359
