           1            0          0.5           10            0            0         -nan         -nan
           1            0          0.5           20          2.2         1.09     0.949119     0.990909
           1            0          0.5           30          1.6         0.76      1.08972         0.95
           1            0          0.5           40          2.6         0.61     0.600788     0.469231
           1            0          0.5           50          1.4         0.41     0.914732     0.585714
           1            0          0.5           60            2          0.6     0.774597          0.6
           1            0          0.5           70          1.6         0.76      1.08972         0.95
           1            0          0.5           80            2            1            1            1
           1            0          0.5           90          2.2         0.89     0.857635     0.809091
           1            0          0.5          100          1.8         0.29     0.598352     0.322222
           1            0          0.5          110          1.4         0.61      1.11575     0.871429
           1            0          0.5          120          0.8         0.44      1.65831          1.1
           1            0          0.5          130          2.2         0.89     0.857635     0.809091
           1            0          0.5          140          2.4         0.36          0.5          0.3
           1            0          0.5          150          1.8         0.89      1.04822     0.988889
           1            0          0.5          160          1.2         0.24     0.816497          0.4
           1            0          0.5          170          1.6         0.56     0.935414          0.7
           1            0          0.5          180          2.6         1.01     0.773067     0.776923
           1            0          0.5          190          0.8         0.24      1.22474          0.6
           1            0          0.5          200            1         0.25            1          0.5
           1            0          0.5          210            2          1.2      1.09545          1.2
           1            0          0.5          220          1.8         1.49      1.35628      1.65556
           1            0          0.5          230          0.4         0.16            2          0.8
           1            0          0.5          240          1.8         1.49      1.35628      1.65556
           1            0          0.5          250          1.6         0.56     0.935414          0.7
           1            0          0.5          260            3         2.05     0.954521      1.36667
           1            0          0.5          270          0.8         0.44      1.65831          1.1
           1            0          0.5          280          1.8         0.49     0.777778     0.544444
           1            0          0.5          290          1.8         1.69      1.44444      1.87778
           1            0          0.5          300          1.4         0.41     0.914732     0.585714
