         5.5            2          0.5           10            0            0         -nan         -nan
         5.5            2          0.5           20          0.2         0.09            3          0.9
         5.5            2          0.5           30     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5           40         0.15     0.069375      3.51188        0.925
         5.5            2          0.5           50         0.12       0.0564      3.95811         0.94
         5.5            2          0.5           60     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5           70     0.114286    0.0538776      4.06202     0.942857
         5.5            2          0.5           80        0.125    0.0585938      3.87298       0.9375
         5.5            2          0.5           90     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          100         0.12       0.0564      3.95811         0.94
         5.5            2          0.5          110     0.127273    0.0595868      3.83592     0.936364
         5.5            2          0.5          120     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          130     0.123077    0.0577515      3.90512     0.938462
         5.5            2          0.5          140     0.128571    0.0601531      3.81517     0.935714
         5.5            2          0.5          150     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          160       0.1375    0.0640234      3.68041      0.93125
         5.5            2          0.5          170     0.129412     0.060519      3.80191     0.935294
         5.5            2          0.5          180     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          190     0.136842    0.0637396       3.6899     0.931579
         5.5            2          0.5          200         0.13     0.060775      3.79271        0.935
         5.5            2          0.5          210     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          220     0.136364    0.0635331      3.69685     0.931818
         5.5            2          0.5          230      0.13913    0.0647259      3.65718     0.930435
         5.5            2          0.5          240     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          250        0.136     0.063376      3.70215        0.932
         5.5            2          0.5          260     0.138462    0.0644379      3.66667     0.930769
         5.5            2          0.5          270     0.133333    0.0622222      3.74166     0.933333
         5.5            2          0.5          280     0.135714    0.0632526      3.70632     0.932143
         5.5            2          0.5          290     0.131034    0.0612247      3.77666     0.934483
         5.5            2          0.5          300     0.126667    0.0593222      3.84571     0.936667
