          10            0          0.5           10            0            0         -nan         -nan
          10            0          0.5           20         77.6      1723.76      1.07006      44.4268
          10            0          0.5           30           76        166.6     0.339667      4.38421
          10            0          0.5           40         63.2        44.24     0.210485          1.4
          10            0          0.5           50         53.2        18.24     0.160558     0.685714
          10            0          0.5           60         78.4       143.56     0.305654      3.66224
          10            0          0.5           70           64           59     0.240036      1.84375
          10            0          0.5           80         58.4        57.96     0.260724      1.98493
          10            0          0.5           90         53.8        32.69     0.212547      1.21524
          10            0          0.5          100           70         53.6     0.209177      1.53143
          10            0          0.5          110         59.4        90.01      0.31944      3.03064
          10            0          0.5          120         59.2        68.64     0.279896      2.31892
          10            0          0.5          130         54.2        31.49      0.20707      1.16199
          10            0          0.5          140         75.4       121.01     0.291789      3.20981
          10            0          0.5          150         63.4        39.81     0.199038      1.25584
          10            0          0.5          160         69.8        76.69     0.250925      2.19742
          10            0          0.5          170           60         20.4     0.150555         0.68
          10            0          0.5          180         76.4        77.76     0.230842       2.0356
          10            0          0.5          190         61.8        14.69     0.124037     0.475405
          10            0          0.5          200         83.8        66.69     0.194902      1.59165
          10            0          0.5          210         54.4        39.16     0.230066      1.43971
          10            0          0.5          220           54         18.4     0.158871     0.681481
          10            0          0.5          230         62.6        42.01     0.207077      1.34217
          10            0          0.5          240         71.6        79.56     0.249152      2.22235
          10            0          0.5          250         61.2        51.84     0.235294      1.69412
          10            0          0.5          260         59.8        21.89     0.156477     0.732107
          10            0          0.5          270         67.8        21.09     0.135469     0.622124
          10            0          0.5          280         58.8        30.24     0.187044      1.02857
          10            0          0.5          290           76           64     0.210526      1.68421
          10            0          0.5          300         56.8        31.24     0.196805          1.1
